年 月 日 时 气温 露点温度 海平面压力 风向 风速 天气条件覆盖代码 液体沉淀深度(一小时) 液体沉淀深度(六小时)
2020 01 05 02   160   130 -9999    20    70 -9999 -9999 -9999
2020 01 05 03   177   134 10251   271     3     8 -9999 -9999
2020 01 05 04   170   130 -9999    10    40 -9999 -9999 -9999
2020 01 05 05   180   130 -9999    30    60 -9999 -9999 -9999
2020 01 05 06   182   129 10223    30    20     8 -9999     0
2020 01 05 07   170   140 -9999    10    40 -9999 -9999 -9999
2020 01 05 08   180   140 -9999    10    30 -9999 -9999 -9999
2020 01 05 09   181   130 10233    14    18     8 -9999 -9999
2020 01 05 10   170   140 -9999    20    30 -9999 -9999 -9999
2020 01 05 11   170   140 -9999    20    20 -9999 -9999 -9999
2020 01 05 12   178   131 10243   350    20     8 -9999     0
2020 01 05 13   170   140 -9999    10    30 -9999 -9999 -9999
2020 01 05 14   170   140 -9999    10    30 -9999 -9999 -9999
2020 01 05 15   177   135 10241   356    20 -9999 -9999 -9999
2020 01 05 16   170   140 -9999   350    30 -9999 -9999 -9999
2020 01 05 17   180   150 -9999   360    20 -9999 -9999 -9999
2020 01 05 18   170   141 10225   300    20 -9999 -9999     0
2020 01 05 19   180   150 -9999   350    20 -9999 -9999 -9999
2020 01 05 20   180   150 -9999   360    20 -9999 -9999 -9999
2020 01 05 21   171   140 10222   305    22 -9999 -9999 -9999
2020 01 05 22   180   150 -9999   330    20 -9999 -9999 -9999
2020 01 05 23   180   150 -9999   280    10 -9999 -9999 -9999
2020 01 06 00   179   144 10233   310    20     6 -9999     0
2020 01 06 01   200   150 -9999 -9999    10 -9999 -9999 -9999
2020 01 06 02   210   150 -9999    10    30 -9999 -9999 -9999
2020 01 06 03   227   149 10223   251    12     1 -9999 -9999
2020 01 06 04   230   150 -9999    20    30 -9999 -9999 -9999
2020 01 06 05   240   150 -9999    70    50 -9999 -9999 -9999
2020 01 06 06   266   126 10181   190    20     4 -9999     0
2020 01 06 07   220   150 -9999    90    40 -9999 -9999 -9999
2020 01 06 08   200   150 -9999    90    30 -9999 -9999 -9999
2020 01 06 09   212   155 10185   153    40     7 -9999 -9999
2020 01 06 10   170   150 -9999    10    20     0 -9999 -9999
2020 01 06 11   170   160 -9999    30    20 -9999 -9999 -9999
2020 01 06 12   185   157 10192   160    20     5 -9999     0
2020 01 06 13   180   160 -9999    30    20 -9999 -9999 -9999
2020 01 06 14   180   160 -9999 -9999    10 -9999 -9999 -9999
2020 01 06 15   167   158 10185   194     7 -9999 -9999 -9999
2020 01 06 16   170   150 -9999 -9999    10 -9999 -9999 -9999
2020 01 06 17   170   150 -9999 -9999    10 -9999 -9999 -9999
2020 01 06 18   167   159 10171   250    10 -9999 -9999     0
2020 01 06 19   170   160 -9999    40    10 -9999 -9999 -9999
2020 01 06 20   170   160 -9999 -9999    10 -9999 -9999 -9999
2020 01 06 21   162   157 10172   260     9 -9999 -9999 -9999
2020 01 06 22   160   150 -9999 -9999    10 -9999 -9999 -9999
2020 01 06 23   160   140 -9999 -9999    10 -9999 -9999 -9999
2020 01 07 00   166   155 10179   290    20     7 -9999     0
2020 01 07 01   170   150 -9999   200    30 -9999 -9999 -9999
2020 01 07 02   170   150 -9999   170    30 -9999 -9999 -9999
2020 01 07 03   212   157 10179   211    15     6 -9999 -9999
2020 01 07 04   180   160 -9999   170    50 -9999 -9999 -9999
2020 01 07 05   180   160 -9999   170    80 -9999 -9999 -9999
2020 01 07 06   228   159 10143   150    10     6 -9999     0
2020 01 07 07   190   160 -9999   160    70     0 -9999 -9999
2020 01 07 08   200   160 -9999   180    50     0 -9999 -9999
2020 01 07 09   215   158 10150   148    16     0 -9999 -9999
2020 01 07 10   190   160 -9999   220    40     0 -9999 -9999
2020 01 07 11   180   160 -9999   200    30     0 -9999 -9999
2020 01 07 12   196   163 10177   160    20     0 -9999     0
2020 01 07 13   170   150 -9999 -9999    10     0 -9999 -9999
2020 01 07 14   160   140 -9999   260    20     0 -9999 -9999
2020 01 07 15   197   112 10196   308    54     0 -9999 -9999
2020 01 07 16   160   140 -9999 -9999    10     0 -9999 -9999
2020 01 07 17   170   130 -9999   300    20     0 -9999 -9999
2020 01 07 18   177    56 10205   330    40     0 -9999     0
2020 01 07 19   160    90 -9999   360    30 -9999 -9999 -9999
2020 01 07 20   140    70 -9999 -9999    10 -9999 -9999 -9999
2020 01 07 21   152    57 10225   325    53 -9999 -9999 -9999
2020 01 07 22   120    70 -9999 -9999    10 -9999 -9999 -9999
2020 01 07 23   140    70 -9999   350    20 -9999 -9999 -9999
2020 01 08 00   142    61 10245   300    40 -9999 -9999     0
2020 01 08 01   170    80 -9999    10    30 -9999 -9999 -9999
2020 01 08 02   180   110 -9999    60    70 -9999 -9999 -9999
2020 01 08 03   187    56 10238    92    11     0 -9999 -9999
2020 01 08 04   180    80 -9999    60    90 -9999 -9999 -9999
2020 01 08 05   180    60 -9999    60    90 -9999 -9999 -9999
2020 01 08 06   190    71 10213   160    60 -9999 -9999     0
2020 01 08 07   160    60 -9999    60    80 -9999 -9999 -9999
2020 01 08 08   160    80 -9999    60    70 -9999 -9999 -9999
2020 01 08 09   151    56 10225   151    22     0 -9999 -9999
2020 01 08 10   140    90 -9999    50    70 -9999 -9999 -9999
2020 01 08 11   140    80 -9999    50    70 -9999 -9999 -9999
2020 01 08 12   127    65 10248    90    40     6 -9999     0
2020 01 08 13   130    80 -9999    40    60 -9999 -9999 -9999
2020 01 08 14   140    70 -9999    30    60 -9999 -9999 -9999
2020 01 08 15   121    46 10251    93    36 -9999 -9999 -9999
2020 01 08 16   140    70 -9999    30    60 -9999 -9999 -9999
2020 01 08 17   130    80 -9999    30    80 -9999 -9999 -9999
2020 01 08 18   122    58 10239    30    20 -9999 -9999     0
2020 01 08 19   130    70 -9999    30    60 -9999 -9999 -9999
2020 01 08 20   130    70 -9999    20    80 -9999 -9999 -9999
2020 01 08 21   115    47 10239    41    29 -9999 -9999 -9999
2020 01 08 22   120    80 -9999    30    70 -9999 -9999 -9999
2020 01 08 23   120    70 -9999    30    80 -9999 -9999 -9999
2020 01 09 00   114    51 10248    70    20     2 -9999     0
2020 01 09 01   130    80 -9999    30    70 -9999 -9999 -9999
2020 01 09 02   130    70 -9999    30    80 -9999 -9999 -9999
2020 01 09 03   137    54 10243   129    16     8 -9999 -9999
2020 01 09 04   140    70 -9999    20    40 -9999 -9999 -9999
2020 01 09 05   140    70 -9999    30    30 -9999 -9999 -9999
2020 01 09 06   170    74 10206   160    20 -9999 -9999     0
2020 01 09 07   150    80 -9999    20    40 -9999 -9999 -9999
2020 01 09 08   140    80 -9999    30    50 -9999 -9999 -9999
2020 01 09 09   152    82 10198   163    32     2 -9999 -9999
2020 01 09 10   130    90 -9999    30    50 -9999 -9999 -9999
2020 01 09 11   130    90 -9999    30    60 -9999 -9999 -9999
2020 01 09 12   131    80 10212    70    20     2 -9999     0
2020 01 09 13   130   100 -9999    30    60 -9999 -9999 -9999
2020 01 09 14   130   100 -9999    30    60 -9999 -9999 -9999
2020 01 09 15   132    82 10210   303    18 -9999 -9999 -9999
2020 01 09 16   130   100 -9999    20    40 -9999 -9999 -9999
2020 01 09 17   140   100 -9999    20    50 -9999 -9999 -9999
2020 01 09 18   133    84 10201    30    10 -9999 -9999     0
2020 01 09 19   140   100 -9999    10    30 -9999 -9999 -9999
2020 01 09 20   140   100 -9999    10    30 -9999 -9999 -9999
2020 01 09 21   132    88 10208   355    18 -9999 -9999 -9999
2020 01 09 22   140   100 -9999 -9999    10 -9999 -9999 -9999
2020 01 09 23   140   100 -9999   360    20 -9999 -9999 -9999
2020 01 10 00   134    93 10211   320    20     8 -9999     0
2020 01 10 01   150   100 -9999   350    20 -9999 -9999 -9999
2020 01 10 02   150   100 -9999    10    20 -9999 -9999 -9999
2020 01 10 03   145   100 10211     9    21     8 -9999 -9999
2020 01 10 04   160   110 -9999   350    30 -9999 -9999 -9999
2020 01 10 05   160   110 -9999   360    30 -9999 -9999 -9999
2020 01 10 06   159   109 10174   120    10     8 -9999     0
2020 01 10 07   170   110 -9999    30    30 -9999 -9999 -9999
2020 01 10 08   160   110 -9999    10    30 -9999 -9999 -9999
