年 月 日 时 气温 露点温度 海平面压力 风向 风速 天气条件覆盖代码 液体沉淀深度(一小时) 液体沉淀深度(六小时)
2020 05 14 23   240   230 -9999   160    20 -9999 -9999 -9999
2020 05 15 00   261   209 10091   180    10     0 -9999 -9999
2020 05 15 01   260   230 -9999   170    30     0 -9999 -9999
2020 05 15 02   280   230 -9999   180    30     0 -9999 -9999
2020 05 15 03   313   212 10082   160    20 -9999 -9999     0
2020 05 15 04   300   230 -9999   180    70 -9999 -9999 -9999
2020 05 15 05   310   230 -9999   180    70 -9999 -9999 -9999
2020 05 15 06   336   211 10055   170    30 -9999 -9999     0
2020 05 15 07   300   240 -9999   180    80 -9999 -9999 -9999
2020 05 15 08   300   230 -9999   190    80 -9999 -9999 -9999
2020 05 15 09   330   215 10049   160    40 -9999 -9999     0
2020 05 15 10   280   230 -9999   200    80 -9999 -9999 -9999
2020 05 15 11   280   230 -9999   210    60 -9999 -9999 -9999
2020 05 15 12   292   219 10068   160    40 -9999 -9999     0
2020 05 15 13   260   230 -9999   200    70 -9999 -9999 -9999
2020 05 15 14   270   230 -9999   210    80 -9999 -9999 -9999
2020 05 15 15   282   217 10079   180    30 -9999 -9999     0
2020 05 15 16   280   230 -9999   240    30 -9999 -9999 -9999
2020 05 15 17   280   230 -9999   230    30 -9999 -9999 -9999
2020 05 15 18   275   215 10067   200    10 -9999 -9999     0
2020 05 15 19   260   230 -9999   190    30 -9999 -9999 -9999
2020 05 15 20   260   230 -9999   230    20 -9999 -9999 -9999
2020 05 15 21   263   222 10081   340    20 -9999 -9999     0
2020 05 15 22   250   230 -9999   160    20 -9999 -9999 -9999
2020 05 15 23   260   230 -9999   190    50 -9999 -9999 -9999
2020 05 16 00   296   215 10091    50    10 -9999 -9999     0
2020 05 16 01   310   230 -9999   180    30 -9999 -9999 -9999
2020 05 16 02   320   230 -9999   180    40 -9999 -9999 -9999
2020 05 16 03   327   212 10090   140    20 -9999 -9999     0
2020 05 16 04   320   240 -9999   160    40 -9999 -9999 -9999
2020 05 16 05   320   240 -9999   160    70 -9999 -9999 -9999
2020 05 16 06   340   218 10059   260    20 -9999 -9999 -9999
2020 05 16 07   310   240 -9999   170    70 -9999 -9999 -9999
2020 05 16 08   310   220 -9999    20    30 -9999 -9999 -9999
2020 05 16 09   303   219 10042   140    60 -9999 -9999 -9999
2020 05 16 10   280   230 -9999   190    50 -9999 -9999 -9999
2020 05 16 11   280   240 -9999   210    60 -9999 -9999 -9999
2020 05 16 12   221   219 10091   160    10 -9999 -9999   940
2020 05 16 13   230   220 -9999   220    50 -9999 -9999 -9999
2020 05 16 14   230   220 -9999   220    20 -9999 -9999 -9999
2020 05 16 15   225   223 10090   330    10 -9999 -9999   950
2020 05 16 16   240   230 -9999   230    40     0 -9999 -9999
2020 05 16 17   240   230 -9999   250    40     0 -9999 -9999
2020 05 16 18   225   223 10068   350    20     0 -9999    10
2020 05 16 19   240   220 -9999   270    40     0 -9999 -9999
2020 05 16 20   240   220 -9999   270    40     0 -9999 -9999
2020 05 16 21   222   220 10053   310    30 -9999 -9999     3
2020 05 16 22   240   220 -9999   240    30 -9999 -9999 -9999
2020 05 16 23   250   220 -9999   190    20 -9999 -9999 -9999
2020 05 17 00   253   216 10068   310    20 -9999 -9999 -9999
2020 05 17 01   270   230 -9999   180    20 -9999 -9999 -9999
2020 05 17 02   290   240 -9999 -9999    20 -9999 -9999 -9999
2020 05 17 03   298   220 10061   280    10 -9999 -9999     0
2020 05 17 04   280   240 -9999   140    40 -9999 -9999 -9999
2020 05 17 05   290   250 -9999   140    50 -9999 -9999 -9999
2020 05 17 06   311   210 10027   140    50 -9999 -9999 -9999
2020 05 17 07   270   240 -9999   140    40 -9999 -9999 -9999
2020 05 17 08   270   240 -9999 -9999    10 -9999 -9999 -9999
2020 05 17 09   245   243 10036   110    10 -9999 -9999   110
2020 05 17 10   250   230 -9999 -9999    10 -9999 -9999 -9999
2020 05 17 11   250   240 -9999   150    20 -9999 -9999 -9999
2020 05 17 12   245   229 10047   220    20 -9999 -9999   120
2020 05 17 13   260   240 -9999   240    20 -9999 -9999 -9999
2020 05 17 14   250   230 -9999   260    30 -9999 -9999 -9999
2020 05 17 15   239   237 10038   300    10 -9999 -9999     9
2020 05 17 16   250   230 -9999   270    40 -9999 -9999 -9999
2020 05 17 17   250   220 -9999   250    30 -9999 -9999 -9999
2020 05 17 18   235   233 10023   310    10 -9999 -9999     8
2020 05 17 19   250   220 -9999   270    30 -9999 -9999 -9999
2020 05 17 20   240   220 -9999   240    20 -9999 -9999 -9999
2020 05 17 21   232   230 10019   230    10 -9999 -9999 -9999
2020 05 17 22   250   220 -9999   240    30 -9999 -9999 -9999
2020 05 17 23   240   220 -9999   270    40 -9999 -9999 -9999
2020 05 18 00   227   225 10045   200    20 -9999 -9999    20
2020 05 18 01   230   220 -9999   280    20 -9999 -9999 -9999
2020 05 18 02   240   230 -9999   180    20 -9999 -9999 -9999
2020 05 18 03   266   229 10038   340    20 -9999 -9999    20
2020 05 18 04   260   220 -9999   180    40 -9999 -9999 -9999
2020 05 18 05   270   230 -9999   170    60 -9999 -9999 -9999
2020 05 18 06   299   196 10023    20    10 -9999 -9999     6
2020 05 18 07   270   220 -9999   180    70 -9999 -9999 -9999
2020 05 18 08   260   220 -9999   190    60 -9999 -9999 -9999
2020 05 18 09   280   225 10026   180    40 -9999 -9999     0
2020 05 18 10   250   230 -9999   210    50 -9999 -9999 -9999
2020 05 18 11   250   220 -9999   210    30 -9999 -9999 -9999
2020 05 18 12   252   221 10043   140    30 -9999 -9999 -9999
2020 05 18 13   240   220 -9999   180    30 -9999 -9999 -9999
2020 05 18 14   230   220 -9999   210    20 -9999 -9999 -9999
2020 05 18 15   240   226 10049   130    10 -9999 -9999     0
2020 05 18 16   230   220 -9999   210    30     0 -9999 -9999
2020 05 18 17   230   220 -9999   210    30     0 -9999 -9999
2020 05 18 18   235   228 10050   160    10     0 -9999     0
2020 05 18 19   230   220 -9999   240    10     0 -9999 -9999
2020 05 18 20   240   220 -9999   280    20     0 -9999 -9999
2020 05 18 21   227   225 10059   300    20 -9999 -9999     0
2020 05 18 22   220   210 -9999    30    80 -9999 -9999 -9999
2020 05 18 23   230   190 -9999    30    90 -9999 -9999 -9999
2020 05 19 00   241   225 10080   350    10 -9999 -9999     0
2020 05 19 01   250   190 -9999    30    80 -9999 -9999 -9999
2020 05 19 02   240   190 -9999    30    70 -9999 -9999 -9999
2020 05 19 03   250   180 10093   110    20 -9999 -9999     0
2020 05 19 04   250   190 -9999    40    50 -9999 -9999 -9999
2020 05 19 05   260   180 -9999    50    50 -9999 -9999 -9999
2020 05 19 06   266   179 10074   150    20 -9999 -9999     0
2020 05 19 07   260   190 -9999    50    40 -9999 -9999 -9999
2020 05 19 08   260   200 -9999    80    40 -9999 -9999 -9999
2020 05 19 09   247   167 10076   150    40 -9999 -9999     0
2020 05 19 10   240   200 -9999    60    30 -9999 -9999 -9999
2020 05 19 11   230   210 -9999   130    30 -9999 -9999 -9999
2020 05 19 12   235   168 10095   160    20 -9999 -9999     0
2020 05 19 13   220   200 -9999    20    20 -9999 -9999 -9999
2020 05 19 14   230   200 -9999    10    30 -9999 -9999 -9999
2020 05 19 15   231   173 10103    60    20 -9999 -9999     0
2020 05 19 16   230   200 -9999    30    30 -9999 -9999 -9999
2020 05 19 17   230   200 -9999    20    30 -9999 -9999 -9999
2020 05 19 18   230   177 10098    20    20 -9999 -9999     0
2020 05 19 19   220   190 -9999   360    20 -9999 -9999 -9999
2020 05 19 20   230   190 -9999    10    30 -9999 -9999 -9999
2020 05 19 21   223   174 10100   360    20 -9999 -9999     0
2020 05 19 22   230   190 -9999    20    30 -9999 -9999 -9999
2020 05 19 23   230   190 -9999    20    30 -9999 -9999 -9999
2020 05 20 00   241   181 10112   340    10 -9999 -9999     0
2020 05 20 01   240   180 -9999    20    40 -9999 -9999 -9999
2020 05 20 02   240   180 -9999    20    40 -9999 -9999 -9999
2020 05 20 03   241   181 10111   260    10 -9999 -9999     0
2020 05 20 04   240   180 -9999    30    50 -9999 -9999 -9999
2020 05 20 05   240   180 -9999    20    50 -9999 -9999 -9999
2020 05 20 06   247   174 10099    90    20 -9999 -9999     0
2020 05 20 07   240   180 -9999    30    60 -9999 -9999 -9999
2020 05 20 08   230   180 -9999    30    50 -9999 -9999 -9999
2020 05 20 09   234   191 10099   210    30 -9999 -9999     0
2020 05 20 10   220   200 -9999    10    30 -9999 -9999 -9999
2020 05 20 11   220   200 -9999   350    20 -9999 -9999 -9999
2020 05 20 12   216   201 10106   230    20 -9999 -9999 -9999
2020 05 20 13   210   200 -9999   340    30 -9999 -9999 -9999
2020 05 20 14   210   200 -9999   350    20 -9999 -9999 -9999
2020 05 20 15   210   208 10104   310    20 -9999 -9999     5
2020 05 20 16   210   200 -9999   350    20 -9999 -9999 -9999
2020 05 20 17   210   210 -9999   340    20 -9999 -9999 -9999
2020 05 20 18   206   204 10087   300    10 -9999 -9999     7
2020 05 20 19   210   210 -9999   350    20 -9999 -9999 -9999
2020 05 20 20   210   210 -9999   360    30 -9999 -9999 -9999
2020 05 20 21   208   206 10084   300    10 -9999 -9999    10
2020 05 20 22   220   210 -9999    10    30 -9999 -9999 -9999
2020 05 20 23   220   210 -9999    10    40 -9999 -9999 -9999
2020 05 21 00   215   213 10092   240    10 -9999 -9999    20
2020 05 21 01   220   210 -9999    10    30 -9999 -9999 -9999
2020 05 21 02   220   210 -9999    10    40 -9999 -9999 -9999
2020 05 21 03   221   219 10083   280    10 -9999 -9999    20
2020 05 21 04   220   210 -9999    20    60 -9999 -9999 -9999
2020 05 21 05   210   210 -9999    20    70 -9999 -9999 -9999
2020 05 21 06   209   207 10077    20    20 -9999 -9999   190
2020 05 21 07   200   190 -9999    20   100 -9999 -9999 -9999
2020 05 21 08   200   190 -9999    20    80 -9999 -9999 -9999
2020 05 21 09   195   193 10082   310    20 -9999 -9999   330
2020 05 21 10   190   170 -9999    20    90 -9999 -9999 -9999
2020 05 21 11   190   180 -9999    20    70 -9999 -9999 -9999
2020 05 21 12   183   177 10101   330    20 -9999 -9999   180
2020 05 21 13   190   180 -9999    30    80 -9999 -9999 -9999
2020 05 21 14   190   180 -9999    30    80 -9999 -9999 -9999
2020 05 21 15   191   167 10103    80    30 -9999 -9999    70
2020 05 21 16   190   190 -9999    30    60 -9999 -9999 -9999
2020 05 21 17   190   190 -9999    20    50 -9999 -9999 -9999
2020 05 21 18   187   175 10073   350    20 -9999 -9999    40
2020 05 21 19   180   180 -9999   310    30 -9999 -9999 -9999
2020 05 21 20   180   180 -9999   350    30 -9999 -9999 -9999
2020 05 21 21   180   178 10067   310    20 -9999 -9999    90
2020 05 21 22   190   180 -9999   330    30 -9999 -9999 -9999
2020 05 21 23   190   180 -9999   320    20 -9999 -9999 -9999
2020 05 22 00   189   187 10074   300    20 -9999 -9999   110
2020 05 22 01   200   190 -9999 -9999    20 -9999 -9999 -9999
2020 05 22 02   210   190 -9999 -9999    20 -9999 -9999 -9999
2020 05 22 03   208   206 10072   300    10 -9999 -9999    30
2020 05 22 04   210   200 -9999    20    40 -9999 -9999 -9999
2020 05 22 05   220   190 -9999   360    30 -9999 -9999 -9999
2020 05 22 06   213   211 10063   310    20 -9999 -9999    20
2020 05 22 07   210   200 -9999    20    40 -9999 -9999 -9999
2020 05 22 08   220   200 -9999    20    50 -9999 -9999 -9999
2020 05 22 09   218   195 10061    20    30 -9999 -9999    20
2020 05 22 10   210   200 -9999    20    60 -9999 -9999 -9999
2020 05 22 11   210   200 -9999    20    60 -9999 -9999 -9999
2020 05 22 12   210   208 10076   290    10 -9999 -9999    20
2020 05 22 13   210   200 -9999    20    50 -9999 -9999 -9999
2020 05 22 14   210   190 -9999    20    60 -9999 -9999 -9999
2020 05 22 15   209   201 10086    10    20 -9999 -9999    10
2020 05 22 16   200   200 -9999   360    30 -9999 -9999 -9999
2020 05 22 17   210   200 -9999   360    30 -9999 -9999 -9999
2020 05 22 18   206   204 10073   300    10 -9999 -9999     1
2020 05 22 19   210   200 -9999   350    20 -9999 -9999 -9999
2020 05 22 20   210   190 -9999   350    30 -9999 -9999 -9999
2020 05 22 21   208   206 10073   300    20 -9999 -9999     0
2020 05 22 22   210   200 -9999     0     0 -9999 -9999 -9999
2020 05 22 23   210   200 -9999 -9999    10 -9999 -9999 -9999
2020 05 23 00   211   209 10091     0     0 -9999 -9999    10
2020 05 23 01   220   210 -9999    50    40 -9999 -9999 -9999
2020 05 23 02   220   200 -9999    50    40 -9999 -9999 -9999
2020 05 23 03   246   217 10090   270    10 -9999 -9999    20
2020 05 23 04   250   190 -9999    40    60 -9999 -9999 -9999
2020 05 23 05   260   200 -9999    40    60 -9999 -9999 -9999
2020 05 23 06   264   207 10077   170    30 -9999 -9999     1
2020 05 23 07   250   190 -9999    40    60 -9999 -9999 -9999
2020 05 23 08   250   190 -9999    40    60 -9999 -9999 -9999
2020 05 23 09   241   204 10074   180    20 -9999 -9999     1
2020 05 23 10   230   190 -9999    40    60 -9999 -9999 -9999
2020 05 23 11   230   200 -9999    30    40 -9999 -9999 -9999
2020 05 23 12   228   196 10089   160    20 -9999 -9999     1
2020 05 23 13   220   200 -9999 -9999    10 -9999 -9999 -9999
2020 05 23 14   220   200 -9999 -9999    10 -9999 -9999 -9999
2020 05 23 15   221   191 10102   150    10 -9999 -9999     0
2020 05 23 16   220   200 -9999 -9999    10 -9999 -9999 -9999
2020 05 23 17   210   200 -9999   320    10 -9999 -9999 -9999
2020 05 23 18   213   208 10097   220    10 -9999 -9999     0
2020 05 23 19   200   190 -9999 -9999    10 -9999 -9999 -9999
2020 05 23 20   200   190 -9999 -9999    10     0 -9999 -9999
2020 05 23 21   207   205 10102   310    10     0 -9999     0
2020 05 23 22   210   200 -9999     0     0     0 -9999 -9999
2020 05 23 23   230   210 -9999   280    20     0 -9999 -9999
2020 05 24 00   237   204 10112   250    10 -9999 -9999     0
2020 05 24 01   260   200 -9999 -9999    10 -9999 -9999 -9999
2020 05 24 02   270   210 -9999   100    30 -9999 -9999 -9999
2020 05 24 03   285   194 10103   140    20 -9999 -9999     0
2020 05 24 04   270   200 -9999   110    40 -9999 -9999 -9999
2020 05 24 05   280   200 -9999    90    30 -9999 -9999 -9999
2020 05 24 06   305   210 10086   150    30 -9999 -9999     0
2020 05 24 07   270   210 -9999    80    40 -9999 -9999 -9999
2020 05 24 08   270   220 -9999    70    40 -9999 -9999 -9999
2020 05 24 09   280   203 10087   150    40 -9999 -9999     0
2020 05 24 10   250   210 -9999    50    30 -9999 -9999 -9999
2020 05 24 11   240   210 -9999 -9999    10 -9999 -9999 -9999
2020 05 24 12   254   193 10107   150    20 -9999 -9999     0
2020 05 24 13   240   220 -9999   360    20     0 -9999 -9999
2020 05 24 14   240   220 -9999    10    20     0 -9999 -9999
2020 05 24 15   249   202 10115   200    10     0 -9999     0
2020 05 24 16   240   220 -9999    20    20     0 -9999 -9999
2020 05 24 17   230   220 -9999    30    20 -9999 -9999 -9999
2020 05 24 18   240   209 10109   160    10     0 -9999     0
2020 05 24 19   230   220 -9999    10    20     0 -9999 -9999
2020 05 24 20   230   220 -9999 -9999    10     0 -9999 -9999
2020 05 24 21   232   215 10112   150    20     0 -9999     0
2020 05 24 22   230   220 -9999 -9999    10     0 -9999 -9999
2020 05 24 23   250   220 -9999 -9999    10     0 -9999 -9999
2020 05 25 00   256   213 10121   320    10 -9999 -9999     0
2020 05 25 01   270   220 -9999    70    40 -9999 -9999 -9999
2020 05 25 02   270   220 -9999    70    40 -9999 -9999 -9999
2020 05 25 03   298   212 10113   180    20 -9999 -9999     0
2020 05 25 04   270   220 -9999    80    50 -9999 -9999 -9999
2020 05 25 05   280   220 -9999    80    50 -9999 -9999 -9999
2020 05 25 06   287   210 10094   150    60 -9999 -9999     0
2020 05 25 07   260   220 -9999    60    40 -9999 -9999 -9999
2020 05 25 08   250   220 -9999    70    30 -9999 -9999 -9999
2020 05 25 09   265   208 10096   140    30 -9999 -9999     0
2020 05 25 10   240   220 -9999    70    30 -9999 -9999 -9999
2020 05 25 11   240   220 -9999    70    20 -9999 -9999 -9999
2020 05 25 12   251   210 10105   150    30 -9999 -9999     0
2020 05 25 13   240   230 -9999    50    30 -9999 -9999 -9999
2020 05 25 14   240   230 -9999    50    40 -9999 -9999 -9999
2020 05 25 15   246   215 10105   150    30 -9999 -9999     0
2020 05 25 16   240   230 -9999 -9999    10 -9999 -9999 -9999
2020 05 25 17   240   230 -9999 -9999    10 -9999 -9999 -9999
2020 05 25 18   236   234 10087   150    30 -9999 -9999 -9999
2020 05 25 19   240   230 -9999   130    10 -9999 -9999 -9999
2020 05 25 20   230   220 -9999 -9999    10 -9999 -9999 -9999
2020 05 25 21   240   228 10076   160    30 -9999 -9999     0
2020 05 25 22   240   230 -9999   180    40 -9999 -9999 -9999
2020 05 25 23   250   230 -9999   190    60 -9999 -9999 -9999
2020 05 26 00   271   225 10075   160    20 -9999 -9999     0
2020 05 26 01   270   230 -9999   190    60 -9999 -9999 -9999
2020 05 26 02   270   230 -9999   210    70 -9999 -9999 -9999
2020 05 26 03   278   223 10073   170    30 -9999 -9999     0
2020 05 26 04   270   240 -9999   220    40 -9999 -9999 -9999
2020 05 26 05   270   240 -9999   200    50     0 -9999 -9999
2020 05 26 06   292   227 10061   250    10 -9999 -9999     5
2020 05 26 07   280   250 -9999   200    50 -9999 -9999 -9999
2020 05 26 08   280   240 -9999   190    40 -9999 -9999 -9999
2020 05 26 09   257   252 10065    30    10 -9999 -9999    30
2020 05 26 10   260   240 -9999   250    30 -9999 -9999 -9999
2020 05 26 11   250   240 -9999   300    20 -9999 -9999 -9999
2020 05 26 12   258   249 10074   270    10 -9999 -9999    20
2020 05 26 13   240   230 -9999 -9999    10 -9999 -9999 -9999
2020 05 26 14   250   230 -9999    30    40 -9999 -9999 -9999
2020 05 26 15   250   248 10095   160    20 -9999 -9999     0
2020 05 26 16   240   220 -9999    40    70 -9999 -9999 -9999
2020 05 26 17   230   220 -9999    40    60 -9999 -9999 -9999
2020 05 26 18   236   220 10094   240    10 -9999 -9999     7
2020 05 26 19   230   210 -9999    40    50 -9999 -9999 -9999
2020 05 26 20   230   200 -9999    50    70 -9999 -9999 -9999
2020 05 26 21   220   218 10098   260    10 -9999 -9999    20
2020 05 26 22   230   210 -9999    40    40 -9999 -9999 -9999
2020 05 26 23   230   200 -9999    50    50 -9999 -9999 -9999
2020 05 27 00   215   213 10115   270    10 -9999 -9999    30
2020 05 27 01   230   200 -9999    40    60 -9999 -9999 -9999
2020 05 27 02   240   200 -9999    40    40 -9999 -9999 -9999
2020 05 27 03   223   218 10120   230    20 -9999 -9999    20
2020 05 27 04   230   200 -9999    50    40 -9999 -9999 -9999
2020 05 27 05   240   200 -9999    70    40 -9999 -9999 -9999
2020 05 27 06   232   211 10112   260    10 -9999 -9999    10
2020 05 27 07   250   210 -9999    50    30 -9999 -9999 -9999
2020 05 27 08   240   200 -9999    60    40 -9999 -9999 -9999
2020 05 27 09   222   219 10107   310    20 -9999 -9999    10
2020 05 27 10   230   210 -9999    70    30 -9999 -9999 -9999
2020 05 27 11   230   200 -9999    60    30 -9999 -9999 -9999
2020 05 27 12   223   211 10123   330    20 -9999 -9999     5
2020 05 27 13   230   210 -9999    50    20 -9999 -9999 -9999
2020 05 27 14   230   200 -9999    40    20 -9999 -9999 -9999
2020 05 27 15   224   217 10126   280    10 -9999 -9999     0
2020 05 27 16   220   200 -9999 -9999    10 -9999 -9999 -9999
2020 05 27 17   220   200 -9999    10    20 -9999 -9999 -9999
2020 05 27 18   222   220 10118   320    10 -9999 -9999     0
2020 05 27 19   220   200 -9999    20    20 -9999 -9999 -9999
2020 05 27 20   220   200 -9999    10    20 -9999 -9999 -9999
2020 05 27 21   218   216 10118   300    20 -9999 -9999 -9999
2020 05 27 22   220   200 -9999    20    20 -9999 -9999 -9999
2020 05 27 23   230   210 -9999    20    20 -9999 -9999 -9999
2020 05 28 00   220   218 10128   300    10 -9999 -9999     1
2020 05 28 01   240   210 -9999    10    20 -9999 -9999 -9999
2020 05 28 02   240   210 -9999    30    20 -9999 -9999 -9999
2020 05 28 03   235   228 10134   300    10 -9999 -9999     2
2020 05 28 04   250   210 -9999    40    30 -9999 -9999 -9999
2020 05 28 05   260   210 -9999    80    30 -9999 -9999 -9999
2020 05 28 06   248   211 10121   300    10 -9999 -9999     1
2020 05 28 07   260   200 -9999    30    20 -9999 -9999 -9999
2020 05 28 08   260   200 -9999 -9999    10 -9999 -9999 -9999
2020 05 28 09   247   200 10118   310    10 -9999 -9999     0
2020 05 28 10   240   200 -9999    70    40 -9999 -9999 -9999
2020 05 28 11   240   200 -9999    60    30 -9999 -9999 -9999
2020 05 28 12   206   204 10140   180    30 -9999 -9999    20
2020 05 28 13   190   180 -9999   330    20 -9999 -9999 -9999
2020 05 28 14   190   170 -9999     0     0 -9999 -9999 -9999
2020 05 28 15   206   201 10144   270    20 -9999 -9999    20
2020 05 28 16   200   190 -9999   300    20 -9999 -9999 -9999
2020 05 28 17   210   190 -9999   280    20 -9999 -9999 -9999
2020 05 28 18   211   196 10130   280    20 -9999 -9999     0
2020 05 28 19   210   200 -9999   290    20 -9999 -9999 -9999
2020 05 28 20   210   200 -9999   280    20 -9999 -9999 -9999
2020 05 28 21   203   201 10128   300    10 -9999 -9999     0
2020 05 28 22   220   200 -9999   290    20 -9999 -9999 -9999
2020 05 28 23   220   200 -9999 -9999    10 -9999 -9999 -9999
2020 05 29 00   227   212 10135   290    10 -9999 -9999     0
2020 05 29 01   260   210 -9999    50    20 -9999 -9999 -9999
2020 05 29 02   270   220 -9999    80    40 -9999 -9999 -9999
2020 05 29 03   270   194 10126   170    20 -9999 -9999     0
2020 05 29 04   270   220 -9999    60    40 -9999 -9999 -9999
2020 05 29 05   260   220 -9999    80    40 -9999 -9999 -9999
2020 05 29 06   277   213 10113   160    30 -9999 -9999     0
2020 05 29 07   260   220 -9999    70    30 -9999 -9999 -9999
2020 05 29 08   260   220 -9999    70    30 -9999 -9999 -9999
2020 05 29 09   258   210 10101   150    40 -9999 -9999     0
2020 05 29 10   250   210 -9999    60    30 -9999 -9999 -9999
2020 05 29 11   240   220 -9999    50    30 -9999 -9999 -9999
2020 05 29 12   245   204 10115   140    30 -9999 -9999     0
2020 05 29 13   240   230 -9999 -9999    10 -9999 -9999 -9999
2020 05 29 14   240   230 -9999   300    10 -9999 -9999 -9999
2020 05 29 15   230   228 10122   100    10 -9999 -9999    90
2020 05 29 16   240   230 -9999     0     0 -9999 -9999 -9999
2020 05 29 17   240   230 -9999 -9999    10 -9999 -9999 -9999
2020 05 29 18   230   228 10106   150    10 -9999 -9999    90
2020 05 29 19   240   230 -9999   200    10 -9999 -9999 -9999
2020 05 29 20   240   230 -9999   230    10 -9999 -9999 -9999
2020 05 29 21   232   230 10105   210    20 -9999 -9999 -9999
2020 05 29 22   240   240 -9999   200    20 -9999 -9999 -9999
2020 05 29 23   260   240 -9999   210    20 -9999 -9999 -9999
2020 05 30 00   264   237 10113   190    50 -9999 -9999     0
2020 05 30 01   280   250 -9999   190    40 -9999 -9999 -9999
2020 05 30 02   290   250 -9999   200    60 -9999 -9999 -9999
2020 05 30 03   305   232 10099   170    40 -9999 -9999     0
2020 05 30 04   300   250 -9999   200    80 -9999 -9999 -9999
2020 05 30 05   310   250 -9999   190    80 -9999 -9999 -9999
2020 05 30 06   325   226 10070   170    50 -9999 -9999     0
2020 05 30 07   290   250 -9999   200    80 -9999 -9999 -9999
2020 05 30 08   290   240 -9999   200    80 -9999 -9999 -9999
2020 05 30 09   300   232 10075   200    60 -9999 -9999     0
2020 05 30 10   270   240 -9999   190    80 -9999 -9999 -9999
2020 05 30 11   260   240 -9999   180    60 -9999 -9999 -9999
2020 05 30 12   275   231 10090   160    30 -9999 -9999 -9999
2020 05 30 13   260   240 -9999   200    50     0 -9999 -9999
2020 05 30 14   260   240 -9999   200    60     0 -9999 -9999
2020 05 30 15   263   226 10107   160    30     0 -9999     0
2020 05 30 16   250   240 -9999   200    30 -9999 -9999 -9999
2020 05 30 17   260   240 -9999   250    30     0 -9999 -9999
2020 05 30 18   258   235 10103   250    20     0 -9999     0
2020 05 30 19   250   230 -9999   210    20     0 -9999 -9999
2020 05 30 20   250   230 -9999   210    20 -9999 -9999 -9999
2020 05 30 21   250   245 10111   190    10     0 -9999     0
2020 05 30 22   260   240 -9999   270    30 -9999 -9999 -9999
2020 05 30 23   270   240 -9999   260    40 -9999 -9999 -9999
2020 05 31 00   267   240 10124   270    10     0 -9999     0
2020 05 31 01   280   240 -9999   160    30     0 -9999 -9999
2020 05 31 02   290   250 -9999   170    40 -9999 -9999 -9999
2020 05 31 03   312   228 10115   300    10 -9999 -9999     0
2020 05 31 04   290   250 -9999   170    60 -9999 -9999 -9999
2020 05 31 05   290   250 -9999   160    50 -9999 -9999 -9999
2020 05 31 06   318   225 10089   140    40 -9999 -9999     0
2020 05 31 07   300   250 -9999   130    40 -9999 -9999 -9999
2020 05 31 08   290   240 -9999   130    30 -9999 -9999 -9999
2020 05 31 09   296   231 10090   160    40 -9999 -9999     0
2020 05 31 10   260   240 -9999 -9999    10 -9999 -9999 -9999
2020 05 31 11   260   250 -9999   320    20 -9999 -9999 -9999
2020 05 31 12   258   256 10117   360    20 -9999 -9999    60
2020 05 31 13   250   240 -9999    30    40 -9999 -9999 -9999
2020 05 31 14   250   240 -9999    30    50 -9999 -9999 -9999
2020 05 31 15   251   249 10118   220    20 -9999 -9999    90
2020 05 31 16   250   240 -9999    30    40 -9999 -9999 -9999
2020 05 31 17   250   240 -9999    20    30 -9999 -9999 -9999
2020 05 31 18   250   248 10106   220    20 -9999 -9999    30
2020 05 31 19   250   240 -9999    30    30 -9999 -9999 -9999
2020 05 31 20   250   240 -9999 -9999    10 -9999 -9999 -9999
2020 05 31 21   247   245 10106   180    10 -9999 -9999     0
2020 05 31 22   250   240 -9999 -9999    10 -9999 -9999 -9999
2020 05 31 23   250   250 -9999    20    20 -9999 -9999 -9999
2020 06 01 00   256   253 10118   200    10 -9999 -9999     0
2020 06 01 01   260   240 -9999    80    30 -9999 -9999 -9999
2020 06 01 02   260   240 -9999    40    40 -9999 -9999 -9999
2020 06 01 03   270   254 10117   150    30 -9999 -9999     0
2020 06 01 04   260   230 -9999    50    50 -9999 -9999 -9999
2020 06 01 05   250   230 -9999    50    60 -9999 -9999 -9999
2020 06 01 06   269   249 10096   130    30 -9999 -9999     2
2020 06 01 07   240   230 -9999    40    60 -9999 -9999 -9999
2020 06 01 08   230   220 -9999    50    70 -9999 -9999 -9999
2020 06 01 09   244   235 10102   200    30 -9999 -9999   110
2020 06 01 10   220   210 -9999    20    50 -9999 -9999 -9999
2020 06 01 11   220   210 -9999    20    40 -9999 -9999 -9999
2020 06 01 12   223   221 10125   290    20 -9999 -9999   190
2020 06 01 13   220   210 -9999   350    20 -9999 -9999 -9999
2020 06 01 14   220   210 -9999   310    30 -9999 -9999 -9999
2020 06 01 15   219   217 10121   320    20 -9999 -9999   190
2020 06 01 16   220   210 -9999 -9999    10 -9999 -9999 -9999
2020 06 01 17   220   210 -9999 -9999    10 -9999 -9999 -9999
2020 06 01 18   219   217 10109   150    20 -9999 -9999   110
2020 06 01 19   220   220 -9999 -9999    10 -9999 -9999 -9999
2020 06 01 20   220   220 -9999   250    10 -9999 -9999 -9999
2020 06 01 21   221   219 10104   200    10 -9999 -9999     1
2020 06 01 22   230   220 -9999   240    10 -9999 -9999 -9999
2020 06 01 23   240   220 -9999   240    20 -9999 -9999 -9999
2020 06 02 00   237   229 10109   360    10 -9999 -9999     0
2020 06 02 01   260   230 -9999   170    30 -9999 -9999 -9999
